LOCID,LONGITUDE,LATITUDE
OI05,-83.6466027778,41.6558836111
88OK,-97.0907305556,36.1933805556
7OR7,-122.907038333,45.0540086111
97OR,-118.662445833,44.4351583333
PN90,-78.0997291667,41.7486761111
2PN2,-76.6472222222,39.7875
03SC,-78.6619444444,33.865
95TS,-98.4897222222,33.2308333333
39VA,-77.1394444444,38.7713888889
85AK,-149.908611111,61.5091666667
2Z5,-147.848258333,64.8328994444
3Z1,-166.131522222,64.8317272222
SCM,-165.571305556,61.8453333333
1AK8,-151.386575944,61.6768618056
78AK,-150.526111111,61.7330555556
10AL,-85.7709,34.9139777778
7AR5,-92.4257083333,33.8112161111
26AZ,-113.202970556,34.0119719444
0CL4,-118.254519167,34.1572291667
1CL2,-118.169797222,34.9424744444
CA84,-117.246944444,32.8897222222
1CL0,-117.799781111,34.1044533333
FL04,-85.7568758333,30.692135
84FD,-82.2362944444,27.0460527778
49FD,-84.6416666667,30.6119444444
6GA7,-84.2952777778,34.2061111111
GA02,-83.9637983333,33.3515077778
GA32,-82.0659530556,32.4085058333
6IA5,-92.2168466667,42.6166516667
IA68,-90.6006852778,42.2666802778
8IA2,-91.3618211111,41.1739163889
0ID4,-114.470325,43.0476833333
IL34,-88.7570413889,42.2144669444
79IS,-90.5620688889,39.44477
83IL,-89.1039688889,40.8928116667
IL17,-87.9272222222,41.8497222222
IL24,-89.8830555556,39.7075
64II,-85.2480280556,41.0400477778
IN28,-87.506985,41.5508686111
2II6,-86.1027669444,40.2647591667
7II7,-85.4833138889,41.2972691667
89KS,-95.4733138889,37.6750472222
1KS0,-97.9711638889,38.1694555556
48SN,-97.2210361111,37.7475416667
2KY3,-86.4583333333,36.8347222222
LA05,-91.049,30.3641666667
9LS9,-91.3487252778,32.4098652778
5MA2,-70.5508619444,41.5531652778
16MA,-71.1506133333,42.7098130556
57ME,-70.8544444444,43.9177777778
18MI,-84.6405436111,42.9586438889
MI45,-83.4518880556,42.8080841667
3MI8,-83.2477072222,42.4805908333
4MI6,-86.6144672222,41.8578202778
31MO,-94.7432994444,40.1055477778
87MO,-94.2580013889,38.6961219444
MO46,-91.1718078889,39.5203238611
MO15,-92.9574005556,37.3875455556
MS75,-91.0389941667,33.0140130556
MT51,-105.961680278,48.2769658333
0MT3,-114.0675,46.2508333333
MT22,-112.166657222,45.3999247222
NC44,-78.6838888889,35.4669444444
7ND5,-99.6226161111,47.3597188889
8NA7,-98.9292886111,48.0625
NA02,-97.0548052778,47.7049777778
65NJ,-74.4668191667,40.4681605556
NM17,-104.183865833,35.9305911111
NK47,-76.8330127778,42.0417408333
1NY4,-73.9109775,44.6175447222
91OI,-81.4587288889,40.7772802778
9OK2,-96.8003119444,36.3333877778
85OR,-121.048876667,42.404595
1OR0,-124.202891944,43.4831688889
PS44,-78.3255697222,40.6114547222
PS67,-80.4309,40.1061838889
9PS8,-77.2949833333,39.81315
PN69,-75.5158333333,40.0925
6PS4,-75.4315847222,39.9128888889
43PN,-75.6440755556,40.2334302778
5PS6,-75.5761111111,40.7258333333
SC66,-81.733435,34.6848552778
2SD7,-97.0628305556,43.3333166667
TN46,-88.3028208333,36.2958908333
3TA5,-98.3747833333,30.1224666667
XA93,-99.6543638889,28.6193222222
22XS,-97.6669638889,31.3710002778
79TE,-97.9308338889,28.1155658333
XS37,-95.1960444444,29.6921733333
92XS,-97.6872133333,26.4789566667
XS63,-97.56082,26.2286847222
0TX6,-97.9969494444,29.5052319444
4XS0,-95.9641219444,29.9296694444
4XS5,-93.8029594444,31.1218588889
1WA1,-122.087344167,47.6470438889
5WN9,-92.2585111111,44.5944111111
16WI,-89.1209686111,46.1216186111
WV64,-81.5237338889,39.1781322222
ADK,-176.646030556,51.8779638889
Z13,-161.422444444,60.9048333333
KKI,-161.435077222,60.9078647222
AKI,-161.230583333,60.9028888889
KQA,-165.785311111,54.1324669444
AUK,-164.659925278,62.6800441667
Z25,-158.557755278,59.2631458333
Z33,-158.623589167,59.2739780556
5A8,-158.6176725,59.2825616667
4AK7,-158.597200278,59.2809233333
6A8,-152.622166667,66.5518333333
AFM,-157.857472222,67.1063138889
AK80,-151.177480278,65.1017188889
AK81,-153.815360556,57.4714936111
AKP,-151.743341667,68.1335972222
N36,170.233333333,9.4666666667
CSR,-149.780611111,61.1587
AK38,-149.821830556,61.1890305556
2OK,-149.827369444,61.2118888889
AK36,-150.122361111,61.4360194444
AK82,-149.7923,61.1561305556
64AK,-150.0261,61.4399111111
AK12,-149.864269444,61.1066
AK37,-150.035560556,61.2494513889
ANC,-149.996361111,61.1743611111
MRI,-149.844446389,61.213545
3C3,-149.9419,61.1330611111
EDF,-149.806513889,61.2513472222
AK91,-149.749424444,61.2397286111
6AK5,-150.160553611,61.1683372222
9AK5,-149.818769444,61.1164805556
FRN,-149.654703611,61.2625077778
Z41,-149.965266667,61.1869483333
LHD,-149.971932222,61.1800036111
2AK0,-149.974655556,61.2558805556
0AK9,-150.059052778,61.33255
AK00,-151.863333333,59.7966666667
00AK,-151.696263889,59.8561111111
AGN,-134.585093889,57.5035552778
ANI,-159.543042778,61.5815969444
ANN,-131.572231944,55.0424372222
Z43,-131.556954722,55.0679922222
ANV,-160.190658889,62.6467343056
K40,-160.205448611,62.6562238889
ARC,-145.579415278,68.1146694444
AKA,-174.206350278,52.2203483333
4A2,-162.273138889,60.8667455556
ATK,-157.435736111,70.4672761111
ATU,173.180305556,52.8283555556
BNF,-134.833141389,57.0888258333
BRW,-156.766001944,71.2854475
74AK,-154.407030556,70.7156083333
BTI,-143.581866944,70.1339886111
BQV,-135.88517,58.4552077778
Z47,-165.299836944,64.6797947222
AK02,-161.062377778,65.5398866667
Z48,-156.144050556,63.5716091667
Z52,-160.266205278,56.0366855556
WBQ,-147.406538056,66.3622180556
KBE,-131.571690556,55.9290780556
BLG,-151.0438975,61.1722188889
Z58,-161.727296389,60.7967480556
BET,-161.838,60.7797777778
BTT,-151.529055556,66.9139444444
2A4,-151.471552778,66.8992527778
AA01,-149.846530556,61.5849611111
AA02,-149.924111111,61.5714805556
86AK,-149.94575,61.5514305556
91AK,-149.943333333,61.5763888889
20AK,-149.896044444,61.5037888889
AK86,-149.91135,61.5735388889
08AK,-149.724438889,61.5696388889
09AK,-149.847333333,61.5893611111
BGQ,-149.813897222,61.5361222222
AK87,-149.929011111,61.5148611111
AK95,-149.779061111,61.5697805556
9AK7,-149.816661111,61.5898305556
63AK,-149.9381,61.5843305556
D71,-149.831,61.58293
68AK,-149.931080556,61.5165805556
L95,-149.939336111,61.5547722222
6A7,-149.773244444,61.4818388889
37AK,-155.258821389,59.3612466667
Z91,-145.824038056,66.2739958333
BCV,-149.508305556,61.4160833333
5BK,-145.860886111,63.5351463889
AK97,-146.145909444,60.4230641667
BYA,-141.113375,64.0783027778
KTS,-166.465722222,65.3313333333
AK98,-167.485806944,65.6386719444
BVK,-161.149070833,65.9815652778
AK75,-161.926305833,65.9076580556
TTW,-148.955616389,63.3912047222
15AK,-148.850336111,63.37065
CDE,-134.135339167,56.0021130556
LUR,-166.110021111,68.8751322222
EHM,-162.0627775,58.6464288889
Z71,-133.796721111,55.96629
CZF,-166.0395,61.781
26AK,-164.914480833,54.5824311111
CSP,-136.638810556,58.1990686111
CEM,-144.780888889,65.5739444444
CIK,-143.739930278,66.6450222222
5CD,-149.579739167,68.0654394444
WCR,-148.483222222,67.5045166667
CYM,-134.946215,57.5149383333
CFK,-164.2856325,60.1492255556
AK13,-146.047431944,65.0518255556
C05,-147.991888889,60.0773055556
KCN,-167.5519,53.3991144444
VAK,-165.600891944,61.5408452778
CKX,-141.952279167,64.0713383333
Z78,-158.401479722,56.2956105556
KCL,-158.535926389,56.3111630556
AJC,-158.373236944,56.3114625
A79,-158.775361389,56.2550472222
CZN,-142.048374167,62.0711897222
CZO,-144.668836111,62.5634730556
CJX,-158.134916667,61.8678611111
CXC,-144.427096944,61.5828591667
9A3,-159.215638889,61.5790555556
AK24,-149.439038889,61.4181611111
CRC,-144.076197222,65.8279166667
CHP,-144.610783611,65.4854722222
96AK,-151.346122222,60.2877833333
CLP,-158.529388889,58.8336944444
Z84,-149.120143611,64.3012036111
CLF,-149.186250278,64.2570341667
Z86,-147.178640278,63.0267747222
KCC,-132.8339225,56.0148038889
CDB,-162.725436944,55.2060605556
Z87,-162.753404444,55.2516272222
1AK3,-160.560791944,56.0059858333
CXF,-150.203878333,67.2521788889
KCR,-155.989043611,63.5677230556
JLA,-149.718802222,60.4827447222
Z93,-145.294080833,61.94119
CDV,-145.477555556,60.4917777778
AK30,-146.097463889,60.3911527778
CKU,-145.726704167,60.5439033333
K29,-163.703447222,64.8978827778
CGA,-133.147801111,55.4788313889
5C5,-133.253372222,55.9585888889
1AK0,-133.145856389,55.4752202778
1AK1,-152.016077778,67.3728722222
1AK2,-146.013304722,62.4009419444
DCK,-156.904673889,66.9433380556
SCC,-148.465166667,70.19475
35AK,-148.695141944,70.4921547222
AK15,-150.944744444,70.3442777778
22AK,-150.369811389,70.4163591667
AK78,-147.030438889,70.1374666667
4AK1,-153.077583333,70.0038055556
DEE,-162.7663675,66.0695611111
BIG,-145.720079833,63.9950431944
11AK,-145.502317778,63.9996058333
D66,-145.717326389,64.0504375
29AK,-145.418991667,64.0496094444
45AK,-145.470091944,63.9618288889
AK09,-145.502324167,64.0496066667
9AK4,-145.830388889,64.1373611111
AK35,-145.738947222,64.0388625
72AK,-145.680174444,64.0271088889
AK77,-145.422225,63.9414277778
76AK,-144.920891667,64.4674638889
0Z2,-147.531979167,63.1081602778
DLG,-158.5055,59.0446666667
AK21,-157.777180556,59.1325833333
0Z3,-158.57719,59.0589755556
DM2,-168.953055556,65.7586111111
AK23,-166.877222222,53.9711111111
EAA,-141.149611111,64.7780833333
47AK,-149.5325,61.2925
D72,-149.54635,61.3525194444
EEK,-162.0235,60.2184333333
AK96,-157.3523925,58.2162069444
EII,-157.375427778,58.1854902778
KKU,-158.5588425,58.8111925
KEK,-157.471138889,59.3568333333
ERO,-135.237382222,58.9710586111
ELV,-136.347392778,58.1951841667
ELI,-162.270527778,64.6149722222
MOS,-162.057299167,64.6981819444
1Z9,-146.703691944,60.8939077778
ENM,-164.49075,62.7861388889
2Z1,-133.439498889,57.4121505556
2Z2,-150.220538611,65.1759113889
2Z3,-148.86317,64.0420413889
EXI,-135.449032778,58.4204986111
AK28,-147.918555556,64.8140277778
1AK9,-147.862145556,64.8153991667
AK22,-147.521666667,64.8216666667
32AK,-147.913961111,64.9092861111
MTF,-147.762421111,64.80679
31AK,-147.424643333,64.8329077778
AK52,-147.535594444,64.8888888889
FBK,-147.614444444,64.8375
2AK1,-147.363758056,64.3637391667
2AK2,-147.563491944,64.4534586111
AK7,-147.927569444,64.1989611111
EIL,-147.1015,64.6656666667
83AK,-148.830255556,65.2565
FAI,-147.856267222,64.8151141667
2Z6,-135.213451111,57.5321544444
KFP,-163.410322222,54.8474458333
FWL,-153.893618889,62.5066122222
TNW,-153.611120556,62.5316202778
FKK,-153.62251,62.5424538889
2AK3,-133.631451389,57.2699363889
FVM,-149.840078056,65.9270441667
FLT,-157.98907,62.4526488889
FYU,-145.250416944,66.5714902778
FNR,-134.897906667,58.2543858333
GBH,-149.489916667,68.4796666667
GAL,-156.937388889,64.7361666667
GAM,-171.732823611,63.7667655556
AQY,-149.125789167,60.9660958333
KGZ,-142.380950833,61.4551344444
3Z8,-158.8747275,59.7470394444
N93,-163.007170278,64.5504552778
GNU,-161.577444444,59.1174166667
Z40,-149.845555556,61.3944513889
GSZ,-161.281475,65.4021333333
KGX,-160.064904167,62.8945605556
GKN,-145.454333333,62.1549444444
8AK1,-145.362766667,62.2802833333
GST,-135.707416667,58.4252777778
HNS,-135.5235375,59.2438291667
3Z9,-135.440718056,59.2349511111
4Z2,-163.3290925,65.9048580556
HWI,-134.755953056,58.1274413889
HAY,-161.156779167,65.2009894444
HRR,-148.968833333,63.8675833333
7AK7,-148.881749722,63.7384319444
AK33,-160.899254444,55.801395
2AK5,-146.5842525,60.481675
2AK6,-155.669320833,66.2161072222
HYL,-132.646094167,55.4815883333
HCA,-159.774916667,62.1883333333
HOM,-151.476583333,59.6455555556
5BL,-151.502125833,59.6446672222
AK17,-151.223241944,59.7635647222
AK18,-153.080824722,59.8285491667
2AK4,-151.5125,59.47
98AK,-151.181630556,59.7758416667
46AK,-151.029894167,59.7382888889
0AK7,-150.958513889,59.7760694444
OOH,-135.451805,58.1121594444
HNH,-135.4096975,58.0960913889
HPB,-166.146638889,61.5238611111
5HO,-149.623838889,60.9041502778
13AK,-149.9,61.6547
AK29,-149.852280556,61.6126
80AK,-149.784180556,61.6019694444
AK89,-149.836969444,61.6570111111
HUS,-154.264694444,66.0390833333
HLA,-156.351388889,65.6978611111
HYG,-132.828313056,55.2063161111
4Z7,-130.006703056,55.9033197222
19AK,-141.661770278,59.9690188889
2AK8,-161.903334167,70.2924891667
IGG,-155.901772778,59.3240416667
ILI,-154.910944444,59.7538055556
2AK9,-162.464062778,65.6734772222
KIB,-159.488668889,55.8975333333
4Z9,-151.522381111,59.4521605556
AK60,-157.096820278,57.8850997222
JNU,-134.576277778,58.3549722222
AK94,-134.7768,58.3907805556
5Z1,-134.407777778,58.2988888889
73AK,-134.9,58.5916666667
18AK,-134.497053333,58.3321736111
KAE,-133.945614722,56.9729963889
AFE,-133.910261111,56.9613625
8AK7,-146.836111111,70.1727777778
1KC,-156.843338889,64.4244472222
KLG,-160.341330556,61.5362738889
KAL,-158.741305833,64.31898
5Z4,-158.532464444,59.0017527778
5Z5,-150.993954722,63.5417147222
Z90,-150.329520278,63.7486780556
KYK,-154.453883333,57.5660861111
KKL,-154.027591111,57.3670358333
KXA,-132.397514444,55.5374138889
Z09,-162.524305556,60.8733333333
5KS,-151.262771389,60.3533091667
AK5,-151.303055556,60.2555555556
5Z7,-151.573217778,59.4688269444
5Z9,-155.7773875,58.5548430556
ENA,-151.245,60.5731111111
3AK5,-152.161977222,60.5888675
8AK2,-151.294166667,60.7025
2R3,-151.311402778,60.7044361111
30AK,-151.260002778,60.5027583333
3AK4,-151.340013333,60.6324888889
6AK3,-151.278068333,60.7294405556
52AK,-151.246388889,60.5058333333
03AK,-150.131388889,60.7263888889
75AK,-151.327955556,60.5930666667
9C0,-131.738352222,55.3846505556
17AK,-131.735018333,55.3829841667
KTN,-131.71375,55.3555555556
5KE,-131.663438889,55.3444638889
8K9,-131.738074167,55.3896502778
IAN,-160.436534444,66.9759538889
KVC,-162.266227222,55.1163475
13S,-146.518866944,62.2828552778
AKN,-156.649277778,58.6767777778
IIK,-164.030513056,59.9329511111
KKB,-152.3704875,58.1909461111
KVL,-164.563496111,67.7361513889
AQC,-133.101692778,55.5546575
AKW,-133.075997222,55.5792333333
OBU,-156.897330556,66.9123416667
KDK,-152.373841389,57.8059175
9Z3,-152.382731667,57.8025838889
ADQ,-152.493855278,57.7499677778
T44,-152.391388889,57.7808333333
AK74,-152.354116111,57.8078616667
5KO,-157.010481944,58.870105
9K2,-154.803728889,59.4331502778
JZZ,-157.259472222,59.7266419444
DUY,-162.88125,59.9608055556
2A9,-163.532638889,63.0305833333
OTZ,-162.5985,66.8846944444
KKA,-161.154265556,64.9394894444
KYU,-157.730444444,64.8758055556
LKK,-155.121271944,58.98208
UBW,-149.597554722,70.3308186111
27AK,-149.589063889,70.3430416667
9Z7,-156.932153056,58.9626069444
KWT,-161.443694444,60.7903333333
GGV,-163.1685375,59.8764694444
Z55,-146.579421944,62.2936894444
2A3,-153.976666667,57.5350833333
9Z9,-149.370196111,60.4110963889
ALZ,-154.247846667,56.8994872222
9Z8,-156.858638889,59.1280833333
2AK,-155.440483333,61.35915
4AK,-148.669171111,65.4726177778
AK71,-153.242215,70.9107452778
4AK3,-143.325958333,61.3778825
13Z,-131.636683056,55.6013058333
LSR,-167.162981667,65.3961625
AK45,-167.175493056,65.4561666667
15Z,-142.903737222,61.4370608333
AK31,-143.001235,61.4112244444
AK0,-142.889825278,61.2187216667
MCG,-155.605666667,62.95275
AK40,-154.760336111,63.2291805556
16Z,-155.593179167,62.957985
INR,-148.910638333,63.7325983333
AK06,-148.798130556,63.6450994444
4AK5,-144.479998889,62.9898822222
MLY,-150.644129722,64.9975647222
MBA,-159.049923889,58.9901969444
MDM,-162.026109722,61.8642777778
MYK,-142.686775,61.3356741667
0AK5,-142.733444444,61.3565138889
24AK,-149.706930556,61.61575
MYU,-166.270608333,60.37142
MTM,-131.5780675,55.1310452778
84K,-132.255018333,55.7396361111
MDO,-146.307240556,59.4499436111
MHM,-152.301873611,63.8859972222
51Z,-149.369964722,65.1437088889
0AK3,-150.493916944,62.0358663889
99AK,-157.151805833,62.5990427778
52Z,-149.497134444,60.6410811111
KMY,-154.145918611,57.0255855556
MOU,-163.682059444,62.0953622222
IBN,-142.995468056,62.4018461111
76Z,-157.047152222,58.927605
5NK,-157.019919722,58.7328805556
4AK9,-157.007141944,58.7342697222
78Z,-149.980161111,61.685025
KEB,-151.925155833,59.3521483333
AK07,-151.877115278,59.2409991667
4AK8,-158.738963889,61.5363138889
WNA,-161.9785,60.6903333333
PKA,-161.778305556,60.7029166667
OUL,-161.160367222,56.0075361111
ENN,-149.073975194,64.5473291944
KNW,-157.373163889,59.4515375
EWU,-164.64125,60.9391388889
IGT,-164.700838889,60.4710472222
1AK5,-151.308333333,60.7397222222
AK73,-151.302236111,60.7252736111
FSP,-154.358434722,63.0185597222
IKO,-168.849027778,52.9415555556
NIN,-151.589418611,60.0202341667
WTK,-162.980352778,67.5610722222
94Z,-165.395926667,64.5131219444
OME,-165.445245833,64.5122022222
5NN,-154.839174722,59.9802302778
D76,-161.02225,66.8175277778
0AK0,-146.862083333,64.3925
95Z,-147.387638889,64.7592222222
5AK2,-147.347686667,64.7306866667
0AK8,-147.4975,64.8958333333
5AK3,-147.333802222,64.7731872222
AK41,-146.844166667,64.5438888889
ORT,-141.929136944,62.9613336111
96Z,-133.121715278,56.1163105556
33AK,-150.945341667,62.5172561111
AQT,-151.005561111,70.2099527778
AK32,-150.253305556,70.4956111111
AK20,-150.886666667,70.4206222222
NUL,-158.074221944,64.7293108333
16A,-162.439115833,60.9058283333
ZNC,-159.993685,60.9806552778
6R7,-153.269749444,57.2181030556
KOY,-154.229793333,57.1614525
Z17,-156.529865,63.1460375
4K5,-152.500511111,57.9228761111
PAQ,-149.088711389,61.5949136111
3AK2,-149.286730556,61.6275
AK46,-149.043188889,61.6288305556
AK42,-149.105788889,61.6008805556
AK53,-148.996980556,61.5823111111
05AK,-149.18785,61.6683
AK63,-149.1425,61.5886111111
AK66,-148.804111611,61.4630768889
5AK6,-149.268288889,61.5570111111
4AK6,-149.28875,61.6409694444
34AK,-149.288580556,61.6250388889
39AK,-149.235980556,61.5860277778
AK93,-149.273488889,61.6551805556
14AK,-149.248388889,61.60145
2D3,-149.239069444,61.6277194444
9AK1,-149.231788889,61.6308694444
AK88,-149.040188889,61.6046972222
97AK,-149.2536,61.664
AK92,-149.028911111,61.6380111111
AK50,-149.144444444,61.5545694444
99Z,-149.277919444,61.60655
3AK6,-149.302272222,61.59295
AK1,-149.017636111,61.5303152778
5AK9,-149.190311111,61.5485194444
5AK4,-149.038819444,61.6061
7AK9,-149.048538889,61.6468305556
82AK,-149.1915,61.6165805556
92AK,-149.259147222,61.5628666667
KPH,-162.693640556,54.4591202778
PXK,-145.500550833,63.02458
4K0,-154.123833056,59.7896097222
PEC,-136.236273333,57.9551722222
PYL,-147.918736111,60.6852869444
PEV,-159.160833333,55.9066666667
63A,-132.960056667,56.8113197222
PSG,-132.945277778,56.8016666667
PNP,-157.571956944,57.5803805556
UGB,-157.739865556,57.4253580556
0AK,-162.899555556,61.9345555556
PTU,-161.819666111,59.0113561111
6AK1,-161.713891667,58.9117158333
KPB,-133.622586389,56.3518597222
PHO,-166.79935,68.3488347222
PIZ,-163.005341667,69.732875
6AK2,-149.982221111,61.2514805556
AK14,-150.0825,61.3533333333
50AK,-150.11625,61.3804611111
AK11,-148.682237222,70.4016769444
PCK,-150.286060833,67.2378983333
A14,-157.714107778,58.906485
AHP,-134.648153889,56.2468422222
16K,-133.594223611,55.7849052778
TPO,-154.318872778,60.2043333333
AK51,-154.324705,60.1986386111
KPY,-153.040559167,57.9301111111
KPC,-166.858519722,65.2536641667
PGM,-151.831538889,59.3482594444
PTH,-158.633361944,56.9591011111
ORI,-152.846101111,57.8853775
19P,-133.610084444,56.3288041667
PWR,-134.650931111,56.3810172222
KPR,-152.582165,58.4901369444
PPC,-150.643611111,66.8140555556
90AK,-148.703644444,70.4921
01A,-152.270016389,62.9436108333
5QC,-164.655724722,65.4059330556
93AK,-158.471621667,58.8720288889
AQH,-161.845366667,59.7550944444
6AK,-152.717524722,62.0841419444
RMP,-150.140833333,65.5079
RDV,-157.350309167,61.7880763889
DGG,-162.899194444,68.0321111111
RBY,-155.469888889,64.7272222222
RSH,-161.319398611,61.7748902778
9AK2,-161.438055556,61.8988888889
A23,-134.158387778,56.8863322222
PBV,-169.663736111,56.5773527778
KSM,-163.301833333,62.0608333333
SMK,-162.110388889,63.4900555556
SNP,-170.220444444,57.1673333333
Z81,-165.0126275,64.9092477778
SDP,-160.521416667,55.3136944444
WSJ,-153.320597222,57.7303744444
SVA,-170.492636111,63.6863944444
WLK,-159.98575,66.6001388889
8AK3,-160.15277,66.7660436111
SOV,-151.704050278,59.4424391667
A27,-151.707661111,59.4341052778
SWD,-149.418812222,60.1269383333
01AK,-149.443055556,60.1052777778
SHX,-159.569222222,62.6923055556
2C7,-161.223972222,64.3710833333
SMU,-147.506921944,61.8119894444
SXP,-164.847777778,62.5205555556
SYA,174.113619444,52.712275
1AK6,-151.408333333,61.8527777778
SHH,-166.089345833,66.2495666667
SHG,-157.162401389,66.8880766667
SIT,-135.361611111,57.0471388889
A29,-135.346208611,57.0521377778
SGY,-135.315663611,59.4600619444
7K2,-135.322663333,59.4468952778
3K0,-150.454972222,60.4802652778
SKW,-151.191366111,61.965295
DDT,-143.920514444,62.7246119444
SLQ,-157.165880556,61.7005180556
